state,zip,STCTY,DATAID,coded_hh_id,coded_cust_id,coded_vin,DATE,DateID,ESTIMATED_MILEAGE,PURCHASE_EVENT,RO_EVENT,RO_TOTAL_COST,HH_WEALTH_CUR_100_149P9K,HH_WEALTH_CUR_1000K_AND_UP,HH_WEALTH_CUR_150_249P9K,HH_WEALTH_CUR_25_49P9K,HH_WEALTH_CUR_250_499P9K,HH_WEALTH_CUR_50_74P9K,HH_WEALTH_CUR_500_749P9k,HH_WEALTH_CUR_75_99P9K,HH_WEALTH_CUR_750_999P9K,HH_WEALTH_CUR_UNDER_25K,MEDIAN_HH_WEALTH_CUR,CY_HH_EBI_25_34P9K,FY_HH_EBI_25_34P9K,AGGREGATE_HH_INC_CUR,CY_AVG_HH_INCOME,TOTAL_AGE_CUR_15_AND_UP,TOTAL_AGE_CUR_45_54,TOTAL_AGE_CUR_55_64,FEMALE_AGE_CUR_15_AND_UP,FEMALE_AGE_CUR_45_54,FEMALE_AGE_CUR_55_64,MALE_AGE_CUR_15_AND_UP,MALE_AGE_CUR_45_54,MALE_AGE_CUR_55_56,FEMALE_AGE_CUR_0_4,FEMALE_AGE_CUR_10_14,FEMALE_AGE_CUR_15_17,FEMALE_AGE_CUR_16_AND_UP,FEMALE_AGE_CUR_18_19,FEMALE_AGE_CUR_18_AND_UP,FEMALE_AGE_CUR_20,FEMALE_AGE_CUR_21,FEMALE_AGE_CUR_21_AND_UP,FEMALE_AGE_CUR_22_24,FEMALE_AGE_CUR_25_29,FEMALE_AGE_CUR_30_34,FEMALE_AGE_CUR_35_39,FEMALE_AGE_CUR_40_44,FEMALE_AGE_CUR_45_49,FEMALE_AGE_CUR_5_9,FEMALE_AGE_CUR_50_54,FEMALE_AGE_CUR_55_59,FEMALE_AGE_CUR_60_61,FEMALE_AGE_CUR_62_64,FEMALE_AGE_CUR_65_66,FEMALE_AGE_CUR_67_69,FEMALE_AGE_CUR_70_74,FEMALE_AGE_CUR_75_79,FEMALE_AGE_CUR_80_84,FEMALE_AGE_CUR_85_AND_UP,FEMALE_MEDIAN_AGE_CUR,FY_AVG_HH_INCOME,FY_POP_15_PL,HH_CUR,HH_CUR_INC_CUR_10_14P9K,HH_CUR_INC_CUR_100_124P9K,HH_CUR_INC_CUR_125_149P9K,HH_CUR_INC_CUR_15_19P9K,HH_CUR_INC_CUR_150_199P9K,HH_CUR_INC_CUR_20_24P9K,HH_CUR_INC_CUR_200_499P9K,HH_CUR_INC_CUR_25_29P9K,HH_CUR_INC_CUR_30_34P9K,HH_CUR_INC_CUR_35_39P9K,HH_CUR_INC_CUR_40_44P9K,HH_CUR_INC_CUR_45_49P9K,HH_CUR_INC_CUR_50_59P9K,HH_CUR_INC_CUR_500K_AND_UP,HH_CUR_INC_CUR_60_74P9K,HH_CUR_INC_CUR_75_99P9K,HH_CUR_INC_CUR_UNDER_10K,MALE_AGE_CUR_0_4,MALE_AGE_CUR_10_14,MALE_AGE_CUR_15_17,MALE_AGE_CUR_16_AND_UP,MALE_AGE_CUR_18_19,MALE_AGE_CUR_18_AND_UP,MALE_AGE_CUR_20,MALE_AGE_CUR_21,MALE_AGE_CUR_21_AND_UP,MALE_AGE_CUR_22_24,MALE_AGE_CUR_25_29,MALE_AGE_CUR_30_34,MALE_AGE_CUR_35_39,MALE_AGE_CUR_40_44,MALE_AGE_CUR_45_49,MALE_AGE_CUR_5_9,MALE_AGE_CUR_50_54,MALE_AGE_CUR_55_59,MALE_AGE_CUR_60_61,MALE_AGE_CUR_62_64,MALE_AGE_CUR_65_66,MALE_AGE_CUR_67_69,MALE_AGE_CUR_70_74,MALE_AGE_CUR_75_79,MALE_AGE_CUR_80_84,MALE_AGE_CUR_85_AND_UP,MALE_MEDIAN_AGE_CUR,MEDIAN_HH_INC_CUR,POP_CUR,POP_MEDIAN_AGE_CUR,HH_CUR_2_OR_MORE,HH_CUR_ASIAN,HH_CUR_BLACK,HH_CUR_HAWAIIAN,HH_CUR_HISPANIC_2_OR_MORE,HH_CUR_HISPANIC_ASIAN,HH_CUR_HISPANIC_BLACK,HH_CUR_HISPANIC_HAWAIIAN,HH_CUR_HISPANIC_NAT_AMER,HH_CUR_HISPANIC_OTHER,HH_CUR_HISPANIC_WHITE,HH_CUR_NAT_AMER,HH_CUR_NOT_HISPANIC_2_OR_MORE,HH_CUR_NOT_HISPANIC_ASIAN,HH_CUR_NOT_HISPANIC_BLACK,HH_CUR_NOT_HISPANIC_HAWAIIAN,HH_CUR_NOT_HISPANIC_NAT_AMER,HH_CUR_NOT_HISPANIC_OTHER,HH_CUR_NOT_HISPANIC_WHITE,HH_CUR_OTHER,HH_CUR_WHITE,TOTAL_CUR_2_OR_MORE,TOTAL_CUR_ASIAN,TOTAL_CUR_BLACK,TOTAL_CUR_HAWAIIAN,TOTAL_CUR_HISPANIC_2_OR_MORE,TOTAL_CUR_HISPANIC_ASIAN,TOTAL_CUR_HISPANIC_BLACK,TOTAL_CUR_HISPANIC_HAWAIIAN,TOTAL_CUR_HISPANIC_NAT_AMER,TOTAL_CUR_HISPANIC_OTHER,TOTAL_CUR_HISPANIC_WHITE,TOTAL_CUR_NAT_AMER,TOTAL_CUR_NOT_HISPANIC_2_OR_MORE,TOTAL_CUR_NOT_HISPANIC_ASIAN,TOTAL_CUR_NOT_HISPANIC_BLACK,TOTAL_CUR_NOT_HISPANIC_HAWAIIAN,TOTAL_CUR_NOT_HISPANIC_NAT_AMER,TOTAL_CUR_NOT_HISPANIC_OTHER,TOTAL_CUR_NOT_HISPANIC_WHITE,TOTAL_CUR_OTHER,TOTAL_CUR_WHITE,HH,PWEALTH_GTOE_25K,PWEALTH_GTOE_50K,PWEALTH_GTOE_75K,PWEALTH_GTOE_100K,PWEALTH_GTOE_150K,PWEALTH_GTOE_250K,PWEALTH_GTOE_500K,PWEALTH_GTOE_750K,PAGE_MALE_GTOE_20,PAGE_MALE_GTOE_21,PAGE_MALE_GTOE_24,PAGE_MALE_GTOE_25,PAGE_MALE_GTOE_30,PAGE_MALE_GTOE_35,PAGE_MALE_GTOE_40,PAGE_MALE_GTOE_45,PAGE_MALE_GTOE_50,PAGE_MALE_GTOE_55,PAGE_MALE_GTOE_60,PAGE_MALE_GTOE_62,PAGE_MALE_GTOE_65,PAGE_MALE_GTOE_67,PAGE_MALE_GTOE_70,PAGE_MALE_GTOE_75,PAGE_MALE_GTOE_80,PAGE_MALE_GTOE_85,PAGE_FEFEMALE_GTOE_20,PAGE_FEFEMALE_GTOE_21,PAGE_FEFEMALE_GTOE_24,PAGE_FEFEMALE_GTOE_25,PAGE_FEFEMALE_GTOE_30,PAGE_FEMALE_GTOE_35,PAGE_FEMALE_GTOE_40,PAGE_FEMALE_GTOE_45,PAGE_FEMALE_GTOE_50,PAGE_FEMALE_GTOE_55,PAGE_FEMALE_GTOE_60,PAGE_FEMALE_GTOE_62,PAGE_FEMALE_GTOE_65,PAGE_FEMALE_GTOE_67,PAGE_FEMALE_GTOE_70,PAGE_FEMALE_GTOE_75,PAGE_FEMALE_GTOE_80,PAGE_FEMALE_GTOE_85,PTOTAL_2_OR_MORE,PTOTAL_ASIAN,PTOTAL_BLACK,PTOTAL_HAWAIIAN,PTOTAL_HISPANIC_2_OR_MORE,PTOTAL_HISPANIC_ASIAN,PTOTAL_HISPANIC_BLACK,PTOTAL_HISPANIC_HAWAIIAN,PTOTAL_HISPANIC_NAT_AMER,PTOTAL_HISPANIC_OTHER,PTOTAL_HISPANIC_WHITE,PTOTAL_NAT_AMER,PTOTAL_OTHER,PTOTAL_WHITE
TN,3.72156E+11,47037,37215,38049,124461,144865,"Sat, 24 Sep 2016","Sat, 24 Sep 2016",0,1,0,0,651.8196721,1609.644809,970.6448087,586.1967213,1447.469945,463.5355191,771.7923497,399.8032787,502.147541,3416.562842,141772.1858,980,926,1609756727,148761.2186,20814,2785,3467,11437,1493,1887,9378,1292,1580,494,511,331,11329,528,11105,300,252,10277,564,1127,760,643,661,688,522,806,944,400,543,349,472,615,418,361,676,43.40710383,161016.2186,21795,10820,168,885,746,288,1091,271,1807,349,349,415,311,404,687,725,778,1188,359,500,512,345,9264,428,9033,263,228,8341,519,783,697,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.75355191,96918.92896,23857,42.18032787,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10127,22,10215,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21752,72,22017,10819.61749,0.684225173,0.630046111,0.587203976,0.550252274,0.49000803,0.400296466,0.266514477,0.195181794,0.360671959,0.349642597,0.340066119,0.318294856,0.285467203,0.2562437,0.233078649,0.207805166,0.181651431,0.153656339,0.121402235,0.107033051,0.087407786,0.074469725,0.057502392,0.035667453,0.021164959,0.011490446,0.464268069,0.450379438,0.428245126,0.415667824,0.405099545,0.381445009,0.33422183,0.302361239,0.27541773,0.247727966,0.218902786,0.185136702,0.145586801,0.128820118,0.106054078,0.091434081,0.07163359,0.045841989,0.014908647,0.028186666,0.02902462,0.000491735,0.000951414,0,0.000574306,8.25711E-05,0.000123857,0.00161752,0.010946212,0.001116556,0.002976252,0.908999643
TN,3.72156E+11,47037,37215,38049,124461,131183,"Sat, 24 Sep 2016","Sat, 24 Sep 2016",0,1,0,0,651.8196721,1609.644809,970.6448087,586.1967213,1447.469945,463.5355191,771.7923497,399.8032787,502.147541,3416.562842,141772.1858,980,926,1609756727,148761.2186,20814,2785,3467,11437,1493,1887,9378,1292,1580,494,511,331,11329,528,11105,300,252,10277,564,1127,760,643,661,688,522,806,944,400,543,349,472,615,418,361,676,43.40710383,161016.2186,21795,10820,168,885,746,288,1091,271,1807,349,349,415,311,404,687,725,778,1188,359,500,512,345,9264,428,9033,263,228,8341,519,783,697,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.75355191,96918.92896,23857,42.18032787,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10127,22,10215,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21752,72,22017,10819.61749,0.684225173,0.630046111,0.587203976,0.550252274,0.49000803,0.400296466,0.266514477,0.195181794,0.360671959,0.349642597,0.340066119,0.318294856,0.285467203,0.2562437,0.233078649,0.207805166,0.181651431,0.153656339,0.121402235,0.107033051,0.087407786,0.074469725,0.057502392,0.035667453,0.021164959,0.011490446,0.464268069,0.450379438,0.428245126,0.415667824,0.405099545,0.381445009,0.33422183,0.302361239,0.27541773,0.247727966,0.218902786,0.185136702,0.145586801,0.128820118,0.106054078,0.091434081,0.07163359,0.045841989,0.014908647,0.028186666,0.02902462,0.000491735,0.000951414,0,0.000574306,8.25711E-05,0.000123857,0.00161752,0.010946212,0.001116556,0.002976252,0.908999643
TN,3.72156E+11,47037,37215,38049,124461,144779,"Sat, 24 Sep 2016","Sat, 24 Sep 2016",0,1,0,0,651.8196721,1609.644809,970.6448087,586.1967213,1447.469945,463.5355191,771.7923497,399.8032787,502.147541,3416.562842,141772.1858,980,926,1609756727,148761.2186,20814,2785,3467,11437,1493,1887,9378,1292,1580,494,511,331,11329,528,11105,300,252,10277,564,1127,760,643,661,688,522,806,944,400,543,349,472,615,418,361,676,43.40710383,161016.2186,21795,10820,168,885,746,288,1091,271,1807,349,349,415,311,404,687,725,778,1188,359,500,512,345,9264,428,9033,263,228,8341,519,783,697,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.75355191,96918.92896,23857,42.18032787,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10127,22,10215,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21752,72,22017,10819.61749,0.684225173,0.630046111,0.587203976,0.550252274,0.49000803,0.400296466,0.266514477,0.195181794,0.360671959,0.349642597,0.340066119,0.318294856,0.285467203,0.2562437,0.233078649,0.207805166,0.181651431,0.153656339,0.121402235,0.107033051,0.087407786,0.074469725,0.057502392,0.035667453,0.021164959,0.011490446,0.464268069,0.450379438,0.428245126,0.415667824,0.405099545,0.381445009,0.33422183,0.302361239,0.27541773,0.247727966,0.218902786,0.185136702,0.145586801,0.128820118,0.106054078,0.091434081,0.07163359,0.045841989,0.014908647,0.028186666,0.02902462,0.000491735,0.000951414,0,0.000574306,8.25711E-05,0.000123857,0.00161752,0.010946212,0.001116556,0.002976252,0.908999643
TN,3.72156E+11,47037,37215,38049,124461,145207,"Sat, 24 Sep 2016","Sat, 24 Sep 2016",0,1,0,0,651.8196721,1609.644809,970.6448087,586.1967213,1447.469945,463.5355191,771.7923497,399.8032787,502.147541,3416.562842,141772.1858,980,926,1609756727,148761.2186,20814,2785,3467,11437,1493,1887,9378,1292,1580,494,511,331,11329,528,11105,300,252,10277,564,1127,760,643,661,688,522,806,944,400,543,349,472,615,418,361,676,43.40710383,161016.2186,21795,10820,168,885,746,288,1091,271,1807,349,349,415,311,404,687,725,778,1188,359,500,512,345,9264,428,9033,263,228,8341,519,783,697,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.75355191,96918.92896,23857,42.18032787,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10127,22,10215,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21752,72,22017,10819.61749,0.684225173,0.630046111,0.587203976,0.550252274,0.49000803,0.400296466,0.266514477,0.195181794,0.360671959,0.349642597,0.340066119,0.318294856,0.285467203,0.2562437,0.233078649,0.207805166,0.181651431,0.153656339,0.121402235,0.107033051,0.087407786,0.074469725,0.057502392,0.035667453,0.021164959,0.011490446,0.464268069,0.450379438,0.428245126,0.415667824,0.405099545,0.381445009,0.33422183,0.302361239,0.27541773,0.247727966,0.218902786,0.185136702,0.145586801,0.128820118,0.106054078,0.091434081,0.07163359,0.045841989,0.014908647,0.028186666,0.02902462,0.000491735,0.000951414,0,0.000574306,8.25711E-05,0.000123857,0.00161752,0.010946212,0.001116556,0.002976252,0.908999643
TN,3.72156E+11,47037,37215,38049,124461,131183,"Sat, 1 Oct 2016","Sat, 1 Oct 2016",244.8125,0,0,0,651.4754098,1610.027322,971.0273224,586.2540984,1448.579235,463.4972678,773.0928962,399.7459016,503.0655738,3414.879781,142001.1011,979,926,1612216175,148961.5601,20820,2784,3467,11441,1493,1887,9380,1291,1580,495,510,331,11333,528,11109,300,252,10281,565,1128,761,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39945355,161195.5601,21802,10822,168,884,746,287,1094,271,1811,348,348,415,312,404,687,726,776,1183,360,500,512,345,9266,429,9035,263,229,8343,520,784,698,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.74972678,97020.50546,23863,42.17459016,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10129,22,10217,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21756,72,22021,10821.64481,0.684439857,0.630265644,0.587435069,0.550495592,0.490294446,0.400564342,0.266704909,0.195265409,0.360655045,0.349623016,0.340047491,0.31827723,0.28543189,0.256201759,0.233026862,0.20776894,0.181631002,0.153648992,0.121413915,0.10705097,0.087428539,0.074489923,0.057517501,0.035673161,0.021162516,0.01149299,0.464314874,0.450433957,0.428296736,0.415713974,0.405142906,0.381486668,0.334223997,0.302342255,0.275396319,0.247706732,0.21889726,0.185153813,0.14561607,0.128853862,0.106088288,0.091462575,0.071650538,0.045845783,0.014917018,0.028196364,0.029030321,0.000491897,0.000951084,0,0.000574451,0.000082554,0.000123831,0.001616657,0.010943543,0.001116192,0.00297537,0.908980717
TN,3.72156E+11,47037,37215,38049,124461,144779,"Sat, 1 Oct 2016","Sat, 1 Oct 2016",552.6666667,0,0,0,651.4754098,1610.027322,971.0273224,586.2540984,1448.579235,463.4972678,773.0928962,399.7459016,503.0655738,3414.879781,142001.1011,979,926,1612216175,148961.5601,20820,2784,3467,11441,1493,1887,9380,1291,1580,495,510,331,11333,528,11109,300,252,10281,565,1128,761,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39945355,161195.5601,21802,10822,168,884,746,287,1094,271,1811,348,348,415,312,404,687,726,776,1183,360,500,512,345,9266,429,9035,263,229,8343,520,784,698,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.74972678,97020.50546,23863,42.17459016,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10129,22,10217,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21756,72,22021,10821.64481,0.684439857,0.630265644,0.587435069,0.550495592,0.490294446,0.400564342,0.266704909,0.195265409,0.360655045,0.349623016,0.340047491,0.31827723,0.28543189,0.256201759,0.233026862,0.20776894,0.181631002,0.153648992,0.121413915,0.10705097,0.087428539,0.074489923,0.057517501,0.035673161,0.021162516,0.01149299,0.464314874,0.450433957,0.428296736,0.415713974,0.405142906,0.381486668,0.334223997,0.302342255,0.275396319,0.247706732,0.21889726,0.185153813,0.14561607,0.128853862,0.106088288,0.091462575,0.071650538,0.045845783,0.014917018,0.028196364,0.029030321,0.000491897,0.000951084,0,0.000574451,0.000082554,0.000123831,0.001616657,0.010943543,0.001116192,0.00297537,0.908980717
TN,3.72156E+11,47037,37215,38049,124461,144865,"Sat, 1 Oct 2016","Sat, 1 Oct 2016",265.6875,0,0,0,651.4754098,1610.027322,971.0273224,586.2540984,1448.579235,463.4972678,773.0928962,399.7459016,503.0655738,3414.879781,142001.1011,979,926,1612216175,148961.5601,20820,2784,3467,11441,1493,1887,9380,1291,1580,495,510,331,11333,528,11109,300,252,10281,565,1128,761,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39945355,161195.5601,21802,10822,168,884,746,287,1094,271,1811,348,348,415,312,404,687,726,776,1183,360,500,512,345,9266,429,9035,263,229,8343,520,784,698,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.74972678,97020.50546,23863,42.17459016,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10129,22,10217,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21756,72,22021,10821.64481,0.684439857,0.630265644,0.587435069,0.550495592,0.490294446,0.400564342,0.266704909,0.195265409,0.360655045,0.349623016,0.340047491,0.31827723,0.28543189,0.256201759,0.233026862,0.20776894,0.181631002,0.153648992,0.121413915,0.10705097,0.087428539,0.074489923,0.057517501,0.035673161,0.021162516,0.01149299,0.464314874,0.450433957,0.428296736,0.415713974,0.405142906,0.381486668,0.334223997,0.302342255,0.275396319,0.247706732,0.21889726,0.185153813,0.14561607,0.128853862,0.106088288,0.091462575,0.071650538,0.045845783,0.014917018,0.028196364,0.029030321,0.000491897,0.000951084,0,0.000574451,0.000082554,0.000123831,0.001616657,0.010943543,0.001116192,0.00297537,0.908980717
TN,3.72156E+11,47037,37215,38049,124461,145207,"Sat, 1 Oct 2016","Sat, 1 Oct 2016",0,0,0,0,651.4754098,1610.027322,971.0273224,586.2540984,1448.579235,463.4972678,773.0928962,399.7459016,503.0655738,3414.879781,142001.1011,979,926,1612216175,148961.5601,20820,2784,3467,11441,1493,1887,9380,1291,1580,495,510,331,11333,528,11109,300,252,10281,565,1128,761,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39945355,161195.5601,21802,10822,168,884,746,287,1094,271,1811,348,348,415,312,404,687,726,776,1183,360,500,512,345,9266,429,9035,263,229,8343,520,784,698,553,603,624,504,668,769,343,468,309,405,521,346,231,274,40.74972678,97020.50546,23863,42.17459016,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10129,22,10217,361,683,703,12,23,0,14,2,3,39,265,27,338,683,689,10,24,33,21756,72,22021,10821.64481,0.684439857,0.630265644,0.587435069,0.550495592,0.490294446,0.400564342,0.266704909,0.195265409,0.360655045,0.349623016,0.340047491,0.31827723,0.28543189,0.256201759,0.233026862,0.20776894,0.181631002,0.153648992,0.121413915,0.10705097,0.087428539,0.074489923,0.057517501,0.035673161,0.021162516,0.01149299,0.464314874,0.450433957,0.428296736,0.415713974,0.405142906,0.381486668,0.334223997,0.302342255,0.275396319,0.247706732,0.21889726,0.185153813,0.14561607,0.128853862,0.106088288,0.091462575,0.071650538,0.045845783,0.014917018,0.028196364,0.029030321,0.000491897,0.000951084,0,0.000574451,0.000082554,0.000123831,0.001616657,0.010943543,0.001116192,0.00297537,0.908980717
TN,3.72156E+11,47037,37215,38049,124461,131183,"Sat, 8 Oct 2016","Sat, 8 Oct 2016",489.625,0,0,0,651.1311475,1610.409836,971.4098361,586.3114754,1449.688525,463.4590164,774.3934426,399.6885246,503.9836066,3413.196721,142230.0164,979,926,1614675623,149161.9016,20826,2783,3467,11445,1492,1887,9382,1291,1580,495,510,331,11337,528,11113,300,252,10284,565,1129,762,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39180328,161374.9016,21808,10824,168,883,747,287,1096,271,1814,348,348,415,313,404,686,727,774,1179,361,500,512,345,9268,429,9037,263,229,8345,520,784,698,553,603,624,504,668,769,343,468,309,405,522,347,231,274,40.74590164,97122.08197,23870,42.16885246,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10131,22,10219,362,683,704,12,23,0,14,2,3,39,265,27,339,683,690,10,24,33,21760,72,22026,10823.67213,0.684654461,0.630485093,0.587666075,0.550738818,0.490580755,0.400832117,0.266895269,0.195348992,0.36063814,0.349603446,0.340028873,0.318259613,0.285396595,0.256159841,0.232975102,0.207732733,0.181610583,0.153641648,0.121425589,0.10706888,0.08744928,0.074510111,0.057532602,0.035678867,0.021160075,0.011495532,0.464361654,0.450488447,0.428348319,0.415760101,0.405186244,0.381528306,0.334226164,0.302323281,0.27537492,0.24768551,0.218891737,0.185170915,0.145645324,0.128887589,0.10612248,0.091491054,0.071667477,0.045849576,0.014925386,0.028206059,0.029036021,0.000492058,0.000950755,0,0.000574595,8.25368E-05,0.000123805,0.001615794,0.010940875,0.001115829,0.002974489,0.908961798
TN,3.72156E+11,47037,37215,38049,124461,144779,"Sat, 8 Oct 2016","Sat, 8 Oct 2016",1105.333333,0,0,0,651.1311475,1610.409836,971.4098361,586.3114754,1449.688525,463.4590164,774.3934426,399.6885246,503.9836066,3413.196721,142230.0164,979,926,1614675623,149161.9016,20826,2783,3467,11445,1492,1887,9382,1291,1580,495,510,331,11337,528,11113,300,252,10284,565,1129,762,643,661,687,522,805,943,400,543,349,473,616,418,360,676,43.39180328,161374.9016,21808,10824,168,883,747,287,1096,271,1814,348,348,415,313,404,686,727,774,1179,361,500,512,345,9268,429,9037,263,229,8345,520,784,698,553,603,624,504,668,769,343,468,309,405,522,347,231,274,40.74590164,97122.08197,23870,42.16885246,79,271,203,6,11,0,6,0,1,11,88,16,68,271,197,6,15,11,10131,22,10219,362,683,704,12,23,0,14,2,3,39,265,27,339,683,690,10,24,33,21760,72,22026,10823.67213,0.684654461,0.630485093,0.587666075,0.550738818,0.490580755,0.400832117,0.266895269,0.195348992,0.36063814,0.349603446,0.340028873,0.318259613,0.285396595,0.256159841,0.232975102,0.207732733,0.181610583,0.153641648,0.121425589,0.10706888,0.08744928,0.074510111,0.057532602,0.035678867,0.021160075,0.011495532,0.464361654,0.450488447,0.428348319,0.415760101,0.405186244,0.381528306,0.334226164,0.302323281,0.27537492,0.24768551,0.218891737,0.185170915,0.145645324,0.128887589,0.10612248,0.091491054,0.071667477,0.045849576,0.014925386,0.028206059,0.029036021,0.000492058,0.000950755,0,0.000574595,8.25368E-05,0.000123805,0.001615794,0.010940875,0.001115829,0.002974489,0.908961798
